accession,prop_value
NCT01016275:I.2006,"Reference segment diameter is not suitable for available stent design"
NCT01016275:I.2007,"Untreatable lesion located at the distal outflow arteries"
NCT01016275:I.2008,"Use of alternative therapy (e.g. atherectomy, cutting balloon, laser, radiation therapy) as part of the index procedure"
NCT01016275:I.2009,"Refusal of treatment by patient"
NCT01016275:I.2010,"Patients for whom antiplatelet therapy, anticoagulants or thrombolytic drugs are contraindicated"
NCT01016275:I.2011,"Patients who exhibit persistent acute intraluminal thrombus of the proposed lesion site"
NCT01016275:I.2012,"Perforation at the angioplasty site evidenced by extravasation of contrast medium"
NCT01016275:I.2013,"Patients with a history of prior life-threatening contrast medium reaction"
NCT01016275:I.2014,"Patients with known hypersensitivity to nickel-titanium"
NCT01016275:I.2015,"Patients with uncorrected bleeding disorders"
NCT01016275:I.2016,"Female patient with child bearing potential not taking adequate contraceptives or currently breastfeeding"
NCT01016275:I.2017,"Life expectancy of<twelve months"
NCT01016275:I.2018,"Any planned surgical intervention/procedure within 30 days of the study procedure"
NCT01016275:I.2019,"Any patient considered to be hemodynamically unstable at onset of procedure"
NCT01016275:I.2020,"Patient is currently participating in another investigational drug or device study that has not completed the entire follow up period."
NCT01018069:I.1001,"age at least 18 Years"
NCT01018069:I.1002,"Patients with AML, except those with APL (acute promyelocytic leukemia), failing a single standard dose cytarabine based frontline induction regimen. The diagnosis of refractory AML is based on the presence of either>10% blasts in marrow or blood or 5-10% blasts in either site together with cytopenia (Hb<10 g/dL, or platelets<100 x 109/L, or neutrophil count<1.0 x 109/L)."
NCT01018069:I.1003,"ECOG performance status finding<=2"
NCT01018069:I.1004,"Male, or female patients who are post-menopausal (amenorrheic for at least 12 months), or surgically or biologically sterile."
NCT01018069:I.1005,"Patients must have adequate organ and immune function as indicated by the following laboratory values:"
NCT01018069:I.1006,"Parameter Laboratory Values Serum creatinine; ?2.0 mg/dL (? 177 ?mol/L Total Bilirubin ?2.0 mg/dL (? 34 ?mol/L) AST (SGOT) and ALT (SGPT) ?3 X ULN"
NCT01018069:I.1007,"The patient must understand, be able and willing and likely to fully comply with study procedures, including scheduled follow-up, and restrictions."
NCT01018069:I.2001,"Clinical evidence of ongoing grade 3 or 4 non-hematological toxicities from the initial standard dose cytarabine-based induction chemotherapy"
NCT01018069:I.2002,"Patients with a prior history of peripheral neuropathy of grade>= 2."
NCT01018069:I.2003,"Clinical evidence of active CNS leukemic involvement."
NCT01018069:I.2004,"Active and uncontrolled infection. Patients with an infection who are under active treatment with antibiotics and whose infections are controlled may be entered to the study."
NCT01018069:I.2005,"Current evidence of invasive fungal infection (blood or tissue culture)."
NCT01018069:I.2006,"Current evidence of an active second malignancy except for non-melanoma skin cancer."
NCT01018069:I.2007,"Uncontrolled medical problems, unrelated to the malignancy, or of sufficient severity that in the opinion of the investigator, impair a patient's ability to give informed consent or unacceptably reduce the safety of the proposed treatment."
NCT01018069:I.2008,"Neurological or psychiatric disorders that would interfere with consent or study follow-up."
NCT01018069:I.2009,"Known or suspected intolerance or hypersensitivity to the study drugs [or closely related compounds] or any of their stated ingredients. Study drugs being the antisense, cytarabine and idarubicin."
NCT01018069:I.2010,"History of alcohol or other substance abuse within the last year."
NCT01018069:I.2011,"Use of another investigational agent within the last 14 days prior to enrolment. Patients who have received a previous antisense agent in the last 90 days will be excluded."
NCT01018069:I.2012,"Female patients who are pregnant, lactating, or with a positive pregnancy test at screening must be excluded."
NCT01019174:I.1001,"age at least 18 Years"
NCT01019174:I.1002,"Understand and voluntarily sign an informed consent form."
NCT01019174:I.1003,"Able to adhere to the study visit schedule and other protocol requirements."
NCT01019174:I.1004,"Previously diagnosed with multiple myeloma based on standard criteria and requires therapy for primary refractory disease or 1st - 3rd relapse because of progressive disease (PD), defined as a 25% increase in M-protein, development of new or worsening of existing lytic bone lesions or soft tissue plasmacytoma, or hypercalcemia (serum calcium>11.3 mg/dL), or clinical relapse from CR."
NCT01019174:I.1005,"At least one measurable disease manifestation defined as follows:"
NCT01019174:I.1006,"For secretory multiple myeloma, measurable disease is defined as any  quantifiable serum monoclonal protein value (generally, but not exclusively,>1g/dL IgG M-protein or>0.5 g/dL IgA) and, where applicable, urine light-chain  excretion of>= 200 mg/24 h."
NCT01019174:I.1007,"For oligo- or non-secretory multiple myeloma, measurable disease is defined by the presence of soft tissue (not bone) plasmacytomas as determined by clinical examination or applicable radiographs (i.e. MRI, CT-Scan) or a quantifiable plasma cell infiltration of the bone marrow as determined by bone marrow biopsy."
NCT01019174:I.1008,"ECOG performance status<= 2 at time of randomization/registration (see Appendix I)."
NCT01019174:I.1009,"Laboratory test results within these ranges within 1 week prior to randomization/registration:"
NCT01019174:I.1010,"Absolute neutrophil count>= 1.5 x 109/L without the use of colony stimulating  factors within 14 days before the laboratory test."
NCT01019174:I.1011,"Platelet count>= 75 x 109/L without transfusion support within 14 days before  the laboratory test."
NCT01019174:I.1012,"Hemoglobin>= 7.5 g/dL (regardless of transfusion support or prior medication  with erythropoietin)."
NCT01019174:I.1013,"Calculated creatinine clearance>= 50 mL/minute."
NCT01019174:I.1014,"Total Bilirubin Measurement"
NCT01019174:I.1015,"AST (SGOT) and ALT (SGPT)<= 2,5 x ULN."
NCT01019174:I.1016,"Corrected Serum Calcium Measurement"
NCT01019174:I.1017,"Female subjects of childbearing potential must:"
NCT01019174:I.1018,"Understand that the study medication could have a potential teratogenic risk"
NCT01019174:I.1019,"Agree to use, and be able to comply with, effective contraception without  interruption, 4 weeks before starting study drug, throughout study drug therapy  (including dose interruptions) and for 4 weeks after the end of study drug  therapy, even if she has amenorrhoea. This applies unless the subject commits to  absolute and continued abstinence confirmed on a monthly basis. The following  are effective methods of contraception:"
NCT01019174:I.1020,"Contraceptive Implant"
NCT01019174:I.1021,"INSERTION OF LEVONORGESTREL-RELEASING INTRAUTERINE SYSTEM"
NCT01019174:I.1022,"Medroxyprogesterone acetate depot"
NCT01019174:I.1023,"Tubal sterilization"
NCT01019174:I.1024,"Sexual intercourse with a vasectomised male partner only. Vasectomy must be  confirmed by two negative semen analyses"
NCT01019174:I.1025,"Ovulation inhibitory progesterone-only pills (i.e., desogestrel)."
NCT01019174:I.1026,"Combined oral contraceptive pills are not recommended. If a subject was using combined oral contraception, she must switch to one of the methods above. The increased risk of VTE continues for 4 to 6 weeks after stopping combined oral contraception"
NCT01019174:I.1027,"Prophylactic antibiotics should be considered at the time of insertion particularly in patients with neutropenia due to risk of infection"
NCT01019174:I.1028,"Agree to have a medically supervised pregnancy test with a minimum sensitivity  of 25 mIU/ml not more than 3 days from the start of study medication once the  subject has been on effective contraception for at least 4 weeks. This  requirement also applies to women of childbearing potential who practice  complete and continued abstinence."
NCT01019174:I.1029,"Agree to have a medically supervised pregnancy test every 4 weeks including 4  weeks after the end of study treatment, except in the case of confirmed tubal  sterilization. These tests should be performed not more than 3 days before the  start of next treatment. This requirement also applies to women of childbearing  potential who practice complete and continued abstinence"
NCT01019174:I.1030,"Male subjects must"
NCT01019174:I.1031,"Agree to use condoms throughout study drug therapy, during any dose interruption  and for one week after cessation of study therapy if their partner is of  childbearing potential and has no contraception."
NCT01019174:I.1032,"Agree not to donate semen during study drug therapy and for one week after end  of study drug therapy."
NCT01019174:I.1033,"All subjects must"
NCT01019174:I.1034,"Agree to abstain from donating blood while taking study drug therapy and for one  week following discontinuation of study drug therapy."
NCT01019174:I.1035,"Agree not to share study medication with another person and to return all unused  study drug to the investigator."
NCT01019174:I.1036,"Disease free of prior malignancies for ? 5 years with exception of currently treated basal cell, squamous cell carcinoma of the skin, or carcinoma""in situ""of the cervix or breast"
NCT01019174:I.1037,"Able and willing to take heparin (usually low-molecular weight - LMWH) or low acetylsalicylic acid (100 mg) daily as prophylactic anticoagulation."
NCT01019174:I.1038,"Life-expectancy>3 months."
NCT01019174:I.2001,"Any serious medical condition, laboratory abnormality, or psychiatric illness that would prevent the subject from signing the informed consent form."
NCT01019174:I.2002,"Females, who are pregnant, calculate to get pregnant or are breast feeding (Lactating females must agree not to breast feed while taking lenalidomide)."
NCT01019174:I.2003,"Any condition, including the presence of laboratory abnormalities, which places the subject at an unacceptable risk if he/she were to participate in the study or confounds the ability to interpret data from the study."
NCT01019174:I.2004,"Patient currently is enrolled in another clinical research study or has been enrolled in such a study within 4 weeks before randomization/registration and/or is receiving an investigational agent for any reason or has received such an agent within 4 weeks before randomization/registration."
NCT01019174:I.2005,"Known hypersensitivity to thalidomide, dexamethasone, or cyclophosphamide or similar drugs."
NCT01019174:I.2006,"Any prior use of lenalidomide."
NCT01019174:I.2007,"Concurrent use of other anti-cancer agents or treatments."
